Designator,Mid X,Mid Y,Rotation,Layer
BT1,135.5,-126.75,180.0,top
C1,151.875,-101.75,270.0,top
C2,139.225,-80.75,180.0,top
D1,101.5,-101.65,90.0,top
D10,171.25,-102.15,90.0,top
D12,168.25,-89.15,110.0,top
D13,161.0,-75.4,90.0,top
D15,148.1,-63.743107,10.0,top
D16,123.0,-63.25,350.0,top
D17,109.35,-62.75,0.0,top
D18,112.25,-75.15,90.0,top
D19,163.85,-63.75,0.0,top
D2,104.243107,-115.128731,110.0,top
D22,168.228828,-113.18443,70.0,top
D3,104.45,-88.6725,70.0,top
D4,110.0,-125.25,120.0,top
D5,119.616562,-136.23125,140.0,top
D6,129.85,-142.25,0.0,top
D7,144.1,-142.25,0.0,top
D8,154.712436,-134.899903,40.0,top
D9,164.0,-122.75,60.0,top
J1,133.4,-83.75,270.0,top
R1,148.4625,-82.0,180.0,top
R2,148.75,-77.25,180.0,top
R3,148.7125,-72.5,180.0,top
R4,122.475,-72.75,0.0,top
R5,122.5375,-77.0,0.0,top
R6,135.5,-72.0,180.0,top
U1,122.48,-82.25,0.0,top
U2,136.3375,-75.905,270.0,top
